INGREDIENT,GRAMS_PER_CUP,GRAMS_PER_TBSP,GRAMS_PER_TSP
'00' PIZZA FLOUR,116,7.25,2.42
AGAVE SYRUP,336,21,7
ALL-PURPOSE BAKING MIX,120,7.5,2.5
ALL-PURPOSE FLOUR,120,7.5,2.5
AP FLOUR,120,7.5,2.5
ALMOND BUTTER,272,17,5.67
ALMOND FLOUR,96,6,2
ALMOND MEAL,84,5.25,1.75
ALMOND PASTE (PACKED),259,16.19,5.4
ALMONDS (SLICED),86,5.38,1.79
ALMONDS (SLIVERED),114,7.12,2.38
ALMONDS WHOLE (UNBLANCHED),142,8.88,2.96
AMARANTH FLOUR,103,6.44,2.15
APPLE JUICE CONCENTRATE,280,17.5,5.83
APPLES (DRIED  DICED),85,5.31,1.77
APPLES (PEELED  SLICED),113,7.06,2.35
APPLESAUCE,255,15.94,5.31
APRICOTS (DRIED  DICED),128,8,2.67
ARTISAN BREAD FLOUR,120,7.5,2.5
ARTISAN BREAD TOPPING,172,10.75,3.58
BAKER'S CINNAMON FILLING,152,9.5,3.17
BAKER'S FRUIT BLEND,128,8,2.67
BAKER'S SPECIAL SUGAR (SUPERFINE / CASTOR SUGAR),190,11.88,3.96
BAKING SUGAR ALTERNATIVE,170,10.62,3.54
BANANAS (MASHED),227,14.19,4.73
BARLEY (COOKED),215,13.44,4.48
BARLEY (PEARLED),213,13.31,4.44
BARLEY FLAKES,92,5.75,1.92
BARLEY FLOUR,85,5.31,1.77
BARLEY MALT SYRUP,336,21,7
BASIL PESTO,224,14,4.67
BELL PEPPERS (FRESH),142,8.88,2.96
BERRIES (FROZEN),142,8.88,2.96
BETTER CHEDDAR CHEESE POWDER,114,7.12,2.38
BLUEBERRIES (DRIED),156,9.75,3.25
BLUEBERRIES (FRESH OR FROZEN),155,9.69,3.23
BLUEBERRY JUICE,241,15.06,5.02
BOILED CIDER,340,21.25,7.08
BRAN CEREAL,60,3.75,1.25
BREAD FLOUR,120,7.5,2.5
BREADCRUMBS (DRIED),112,7,2.33
BREADCRUMBS (FRESH),84,5.25,1.75
BREADCRUMBS (JAPANESE PANKO),50,3.12,1.04
BROWN RICE (COOKED),170,10.62,3.54
BROWN RICE FLOUR,128,8,2.67
BROWN SUGAR (DARK OR LIGHT  PACKED),213,13.31,4.44
BROWN SUGAR,213,13.31,4.44
BUCKWHEAT (WHOLE),170,10.62,3.54
BUCKWHEAT FLOUR,120,7.5,2.5
BULGUR,152,9.5,3.17
BUTTER,226,14.12,4.71
BUTTERMILK,227,14.19,4.73
BUTTERMILK BISCUIT FLOUR BLEND,110,6.88,2.29
BUTTERMILK POWDER,144,9,3
CACAO NIBS,120,7.5,2.5
CAKE ENHANCER,112,7,2.33
CANDIED LEMON PEEL,148,9.25,3.08
CANDIED ORANGE PEEL,100,6.25,2.08
CARAMEL (PIECES),284,17.75,5.92
CARAMEL BITS (CHOPPED HEATH OR TOFFEE),156,9.75,3.25
CARAWAY SEEDS,144,9,3
CARROTS (COOKED AND PUREED),256,16,5.33
CARROTS (DICED),142,8.88,2.96
CARROTS (GRATED),99,6.19,2.06
CASHEWS (CHOPPED),113,7.06,2.35
CASHEWS (WHOLE),113,7.06,2.35
CELERY (DICED),142,8.88,2.96
FETA CHEESE,114,7.12,2.38
GRATED CHEESE,113,7.06,2.35
CHEESE (GRATED PARMESAN),100,6.25,2.08
CHEESE (RICOTTA),227,14.19,4.73
CHERRIES (CANDIED),200,12.5,4.17
CHERRIES (DRIED),142,8.88,2.96
CHERRIES (FRESH  PITTED  CHOPPED),160,10,3.33
CHERRIES (FROZEN),113,7.06,2.35
CHERRY CONCENTRATE,336,21,7
CHIA SEEDS,148,9.25,3.08
CHICKPEA FLOUR,85,5.31,1.77
CHIVES (FRESH),42,2.62,0.88
CHOCOLATE (CHOPPED),170,10.62,3.54
CHOCOLATE CHIPS,170,10.62,3.54
CHOCOLATE CHUNKS,170,10.62,3.54
CHOCOLATE MOUSSE MIX,112,7,2.33
CINNAMON SWEET BITS,140,8.75,2.92
CINNAMON-SUGAR,200,12.5,4.17
CLIMATE BLEND FLOUR,115,7.19,2.4
COCOA (UNSWEETENED),84,5.25,1.75
UNSWEETENED COCOA,84,5.25,1.75
COCOA POWDER,84,5.25,1.75
COCONUT (SWEETENED  SHREDDED),85,5.31,1.77
COCONUT (TOASTED),85,5.31,1.77
COCONUT (UNSWEETENED  DESICCATED),85,5.31,1.77
COCONUT (UNSWEETENED  LARGE FLAKES),60,3.75,1.25
COCONUT (UNSWEETENED  SHREDDED),53,3.31,1.1
COCONUT CREAM (UNSWEETENED),284,17.75,5.92
COCONUT FLOUR,128,8,2.67
COCONUT MILK (EVAPORATED),242,15.12,5.04
COCONUT MILK POWDER,114,7.12,2.38
COCONUT MILK  CANNED (WELL SHAKEN),241,15.06,5.02
COCONUT OIL,226,14.12,4.71
COCONUT SUGAR,154,9.62,3.21
CONFECTIONERS' SUGAR (UNSIFTED),113,7.06,2.35
COOKIE BUTTER,288,18,6
COOKIE CRUMBS,85,5.31,1.77
CORN,152,9.5,3.17
CORN SYRUP,312,19.5,6.5
CORNMEAL,138,8.62,2.88
YELLOW CORNMEAL,156,9.75,3.25
CORNSTARCH,112,7,2.33
COTTAGE CHEESE,226,14.12,4.71
CRACKED WHEAT,149,9.31,3.1
DRIED CRANBERRIES,114,7.12,2.38
CRANBERRIES,99,6.19,2.06
CREAM,227,14.19,4.73
CREAM CHEESE,227,14.19,4.73
CREAM OF COCONUT,284,17.75,5.92
CREME FRAICHE,226,14.12,4.71
CURRANTS,142,8.88,2.96
DATES (CHOPPED),149,9.31,3.1
DEMERARA SUGAR,220,13.75,4.58
DRIED BLUEBERRY POWDER,112,7,2.33
DRIED MILK,112,7,2.33
DRIED NONFAT MILK,112,7,2.33
DRIED POTATO FLAKES,86,5.38,1.79
DRIED WHOLE MILK (POWDERED),100,6.25,2.08
DURUM FLOUR,124,7.75,2.58
EASY ROLL DOUGH IMPROVER,144,9,3
ESPRESSO POWDER,112,7,2.33
EVERYTHING BAGEL TOPPING,140,8.75,2.92
FIGS (DRIED  CHOPPED),149,9.31,3.1
FIRST CLEAR FLOUR,106,6.62,2.21
FLAX MEAL,100,6.25,2.08
FLAXSEED,140,8.75,2.92
FORMAGGIO ITALIANO CHEESE AND HERB BLEND,120,7.5,2.5
FRENCH-STYLE FLOUR,120,7.5,2.5
FRUITCAKE FRUIT BLEND,120,7.5,2.5
GARLIC (MINCED),224,14,4.67
GARLIC (PEELED AND SLICED),149,9.31,3.1
GHEE,176,11,3.67
GINGER (FRESH  SLICED),228,14.25,4.75
GLUTEN-FREE ALL-PURPOSE BAKING MIX,120,7.5,2.5
GLUTEN-FREE ALL-PURPOSE FLOUR,156,9.75,3.25
GLUTEN-FREE BREAD FLOUR,120,7.5,2.5
GLUTEN-FREE MEASURE FOR MEASURE FLOUR,120,7.5,2.5
GLUTEN-FREE PIZZA FLOUR,100,6.25,2.08
GLUTEN-FREE SOURDOUGH STARTER (MADE WITH GF BREAD FLOUR),177,11.06,3.69
GLUTEN-FREE SOURDOUGH STARTER (MADE WITH GF MEASURE FOR MEASURE),234,14.62,4.88
GLUTINOUS RICE FLOUR,120,7.5,2.5
GOLDEN WHEAT FLOUR,113,7.06,2.35
GRAHAM CRACKER CRUMBS,100,6.25,2.08
GRANOLA,113,7.06,2.35
GRAPE NUTS,114,7.12,2.38
GUAVA PASTE,400,25,8.33
HARVEST GRAINS BLEND,148,9.25,3.08
HAZELNUT FLOUR,89,5.56,1.85
HAZELNUT PRALINE PASTE,312,19.5,6.5
HAZELNUT SPREAD,320,20,6.67
HAZELNUTS (WHOLE),142,8.88,2.96
HI-MAIZE NATURAL FIBER,128,8,2.67
HIGH-GLUTEN FLOUR,120,7.5,2.5
HONEY,336,21,7
INSTANT CLEARJEL,176,11,3.67
IRISH-STYLE FLOUR,110,6.88,2.29
ITALIAN HERB SEASONING,112,7,2.33
ITALIAN-STYLE FLOUR,106,6.62,2.21
JAM OR PRESERVES,340,21.25,7.08
JAMMY BITS,184,11.5,3.83
KETO WHEAT FLOUR,120,7.5,2.5
KETO WHEAT PIZZA CRUST MIX,110,6.88,2.29
KEY LIME JUICE,227,14.19,4.73
LARD,226,14.12,4.71
LEEKS (DICED),92,5.75,1.92
LEMON CRUMBLES,180,11.25,3.75
LEMON CURD,226,14.12,4.71
LEMON JUICE,224,14,4.67
LEMON JUICE POWDER,144,9,3
LIME JUICE POWDER,144,9,3
MACADAMIA NUTS (WHOLE),149,9.31,3.1
MALT SYRUP,344,21.5,7.17
MALTED MILK POWDER,140,8.75,2.92
MALTED WHEAT FLAKES,128,8,2.67
MAPLE CINNAMON FRENCH TOAST SUGAR,192,12,4
MAPLE CREAM,336,21,7
MAPLE SUGAR,156,9.75,3.25
MAPLE SYRUP,312,19.5,6.5
MARSHMALLOW FLUFF,128,8,2.67
MARSHMALLOW SPREAD  HOMEMADE,72,4.5,1.5
MARSHMALLOW SPREAD  STORE-BOUGHT,123,7.69,2.56
MARSHMALLOWS (MINI),43,2.69,0.9
MARZIPAN,290,18.12,6.04
MASA HARINA,93,5.81,1.94
MASCARPONE CHEESE,227,14.19,4.73
MASHED POTATOES,213,13.31,4.44
MASHED SWEET POTATOES,240,15,5
MATCHA POWDER,96,6,2
MAYONNAISE,226,14.12,4.71
MEDIUM RYE FLOUR,106,6.62,2.21
MERINGUE POWDER,172,10.75,3.58
MILK (EVAPORATED),226,14.12,4.71
MILK (FRESH),227,14.19,4.73
MILLET (WHOLE),206,12.88,4.29
MINI CHOCOLATE CHIPS,177,11.06,3.69
MINI DICED GINGER,146,9.12,3.04
MOLASSES,340,21.25,7.08
MUSHROOMS (SLICED),78,4.88,1.62
NON-DIASTATIC MALT POWDER,144,9,3
NUTELLA,298,18.62,6.21
OAT BRAN,106,6.62,2.21
OAT FLOUR,92,5.75,1.92
ROLLED OATS,113,7.06,2.35
QUICK-COOKING OATS,89,5.56,1.85
OATMEAL,147,9.19,3.06
OLIVE OIL,200,12.5,4.17
OLIVES (SLICED),142,8.88,2.96
ONIONS (FRESH  DICED),142,8.88,2.96
PALEO BAKING FLOUR,104,6.5,2.17
PALM SHORTENING,180,11.25,3.75
PASSION FRUIT PUREE,180,11.25,3.75
PASTA FLOUR BLEND,145,9.06,3.02
PASTRY FLOUR,106,6.62,2.21
PASTRY FLOUR BLEND,113,7.06,2.35
PEACHES (PEELED AND DICED),170,10.62,3.54
